"SampleCode";"PeakNumber";"Compound";"SpectrumFilename";"ReferenceSpectrum";"TypicallyMonitored";"Source";"Class";"Identification";"Comment";"OBSERVATION";"NameInSoftwareComment";"InPacificLibrary";"InAtlanticLibrary";"FragmentIdentification";"AtlanticLibrary";"UsePeakApexMS";"Formula";"Halogenation";"RetentionTime1D";"RetentionTime2D";"QuantIon";"PeakArea";"UniqueMass";"SpectralSimilarity";"LipidMass";"InternalStandardArea";"RelativeArea";"Matrix";"Instrument"
"MQ447";3181;"mirex 2Cl 2";"mirex_2Cl_3_MQ447";"mirex_2Cl_3_MQ447";FALSE;"anthropogenic";"Mirex-related";"Manual-Congener Group";NA;"SIMIL. WITH 2,7:3,6-Dimethanonaphth[2,3-b]oxiren-8-ol, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, acetate, stereoisomer";"MIREX 2 CL - NEW 1";FALSE;FALSE;"437 [M-Cl]+";NA;NA;"C10H2Cl10";"chlorinated";1460.51;1.063;441;7858.8;410;550;0.52;368079;0.041059329;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ512";3543;"mirex 2Cl 2";"mirex_2Cl_3_MQ512";"mirex_2Cl_3_MQ447";FALSE;"anthropogenic";"Mirex-related";"Manual-Congener Group";NA;"SIMIL. TO 3,5,6-Trichloro-4-isopropylsulfanyl-pyridine-2-carbonitrile";"MIREX 2 CL - NEW 1";FALSE;FALSE;"437 [M-Cl]+";NA;NA;"C10H2Cl10";"chlorinated";1460.51;1.082;441;828.92;274;495;0.31;234538;0.011400862;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ425";4235;"mirex 2Cl 2";"mirex_2Cl_3_MQ425";"mirex_2Cl_3_MQ447";FALSE;"anthropogenic";"Mirex-related";"Manual-Congener Group";NA;"SIMILAR TO U 4-9P/ DO NOT HAVE THE LAST CLUSTER 476 AS PACIFIC LIB. CAN BE MIREX 3 CL LESS?";"MIREX 2 CL - NEW 1";FALSE;FALSE;"437 [M-Cl]+";NA;NA;"C10H2Cl10";"chlorinated";1464.01;1.089;441;2175.2;410;NA;0.5;136167;0.031949004;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ429";3498;"photomirex";"mirex_1Cl_MQ429";"mirex_1Cl_MQ447";FALSE;"anthropogenic";"Mirex-related";"Authentic MS RT";"mirex 1Cl (Pacific Library)";"SIMI. WITH MIREX";"MIREX 1 CL P";TRUE;TRUE;"270 [C5Cl6]+; 366 [M-Cl4]; 471 [M-Cl]+";"mirex-1Cl isomer";NA;"C10HCl11";"chlorinated";1495.49;1.115;475;73164;272;536;0.31;269519;0.875681875;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ447";3311;"photomirex";"mirex_1Cl_MQ447";"mirex_1Cl_MQ447";FALSE;"anthropogenic";"Mirex-related";"Authentic MS RT";"mirex 1Cl (Pacific Library)";" SIMIL. WITH 2,7:3,6-Dimethanonaphth[2,3-b]oxiren-8-ol, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, acetate, stereoisomer";"MIREX 1 CL P";TRUE;TRUE;"270 [C5Cl6]+; 366 [M-Cl4]; 471 [M-Cl]+";"mirex-1Cl isomer";NA;"C10HCl11";"chlorinated";1495.49;1.082;475;114286;272;588;0.52;368079;0.597102169;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ512";3689;"photomirex";"mirex_1Cl_MQ512";"mirex_1Cl_MQ447";FALSE;"anthropogenic";"Mirex-related";"Authentic MS RT";"mirex 1Cl (Pacific Library)";" SIMIL. WITH 2,7:3,6-Dimethanonaphth[2,3-b]oxiren-8-ol, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, acetate, stereoisomer";"MIREX 1 CL P";TRUE;TRUE;"270 [C5Cl6]+; 366 [M-Cl4]; 471 [M-Cl]+";"mirex-1Cl isomer";NA;"C10HCl11";"chlorinated";1495.49;1.082;475;10079;238;649;0.31;234538;0.138625311;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ425";4422;"photomirex";"mirex_1Cl_MQ425";"mirex_1Cl_MQ447";FALSE;"anthropogenic";"Mirex-related";"Authentic MS RT";"mirex 1Cl (Pacific Library)";"aC11-DP - metabolite of mirex/ SIMIL. WITH 2,7:3,6-Dimethanonaphth[2,3-b]oxiren-8-ol, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, acetate, stereoisomer";"MIREX 1 CL P";TRUE;TRUE;"270 [C5Cl6]+; 366 [M-Cl4]; 471 [M-Cl]+";"mirex-1Cl isomer";NA;"C10HCl11";"chlorinated";1498.99;1.109;475;26517;296;627;0.5;136167;0.389477627;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ447";3392;"mirex 1Cl 1";"mirex_1Cl_2_MQ447";"mirex_1Cl_2_MQ447";FALSE;"anthropogenic";"Mirex-related";"Manual-Congener Group";NA;"aC11-DP / syn or anti / metabolite mirex/ SIMIL. WITH 2,7:3,6-Dimethanonaphth[2,3-b]oxiren-8-ol, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, acetate, stereoisomer";"MIREX 1 CL 2 A";FALSE;TRUE;"270 [C5Cl6]+; 366 [M-Cl4]; 471 [M-Cl]+";"mirex-1Cl isomer 2";NA;"C10HCl11";"chlorinated";1516.48;1.115;238;509606;238;698;0.52;368079;2.662503263;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ425";4524;"mirex 1Cl 1";"mirex_1Cl_2_MQ425";"mirex_1Cl_2_MQ447";FALSE;"anthropogenic";"Mirex-related";"Manual-Congener Group";NA;"aC11-DP / syn or anti / metabolite mirex/ SIMIL. WITH 2,7:3,6-Dimethanonaphth[2,3-b]oxiren-8-ol, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, acetate, stereoisomer";"MIREX 1 CL 2 A";FALSE;TRUE;"270 [C5Cl6]+; 366 [M-Cl4]; 471 [M-Cl]+";"mirex-1Cl isomer 2";NA;"C10HCl11";"chlorinated";1519.97;1.155;238;167256;238;645;0.5;136167;2.456630461;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ429";3625;"mirex 1Cl 1";"mirex_1Cl_2_MQ429";"mirex_1Cl_2_MQ447";FALSE;"anthropogenic";"Mirex-related";"Manual-Congener Group";NA;"aC11-DP / syn or anti / metabolite mirex/ SIMIL. WITH 2,7:3,6-Dimethanonaphth[2,3-b]oxiren-8-ol, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, acetate, stereoisomer";"MIREX 1 CL 2 A";FALSE;TRUE;"270 [C5Cl6]+; 366 [M-Cl4]; 471 [M-Cl]+";"mirex-1Cl isomer 2";NA;"C10HCl11";"chlorinated";1519.97;1.135;238;516964;238;633;0.31;269519;6.18741464;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
